1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
à la carte	(n adj adv) |มีที่มาจากภาษาฝรั่งเศส| การสั่งอาหารที่มีอยู่ในเมนูได้ตามใจชอบ โดยไม่ต้องสั่งเป็นชุดตามที่ร้านอาหารจัดไว้ (ทางประเทศแถบตะวันตก มักมีรายการอาหารเป็นชุดจัดไว้ให้), เมนูหรือรายการอาหารที่มีราคาแยกเฉพาะสำหรับอาหารแต่ละจาน
a la carte	ดู à la carte (ภาษาฝรั่งเศส), Related: S. à la carte , 
a load of	(phrase) มาก, มากมาย เช่น a load of rubbish, What a load of muggles.
a piece of (one's) mind	(phrase) คำวิจารณ์หรือตำหนิอย่างตรงไปตรงมาและรุนแรง, เช่น She gave him a piece of her mind. เธอตำหนิเขาตรงๆ อย่างรุนแรง
abdicated emperor	(n) จักรพรรดิ์ผู้ที่สละราชสมบัติ
abstinent	(adj) ที่ค่อยๆกินอย่างไม่มูมมาม, ที่สามารถระงับอารมณ์หรือความอยากได้ดี เช่น the longer the intake, the greater the likelihood that a patient will stay continuously abstinent even after termination of alcohol deterrents.
accreditation (of an ambassador)	(n) การแต่งตั้ง (ทูต)
accrual basis	(n) (ในแง่การบัญชี)เกณฑ์คงค้าง, เกณฑ์สิทธิ์, เกณฑ์พึงรับพึงจ่าย, เกณฑ์ในการวัดผลการดำเนินงานสำหรับแต่ละงวดบัญชี ที่ใช้ในการคำนวณหาผลการดำเนินงานของธุรกิจ 
accumulated deficit	(n) ขาดทุนสะสม เช่น The accumulated deficit will have to be funded in one of three ways: through higher premiums, reductions in costs, or a transfer from the general fund. 
accumulated earnings	(n) กำไรสะสม, Related: S. accumulated income, accoumulated profit, retained earnings, 
accumulated income	(n) กำไรสะสม, Related: S. accumulated earnings, accumulated profit, retained earnings, 
accumulated profit	(n) กำไรสะสม, Related: S. accumulated earnings, accumulated income, retained earnings, 
aci	(abbrev) ACI(Airports Council International) สภาการท่าอากาศยานนานาชาติ
acrylamide	(n name) เอคริลเอไมด์ เป็นสารประกอบอินทรีย์ชนิดหนึ่งที่มีหมู่เอไมด์แทนที่หมู่ไฮดรอกซิลของกรดโพรพีโนอิก (propenoic acid) สารประกอบชนิดนี้เกิดได้จากการอบหรือทอดอาหารประเภทคาร์โบไฮเดรท และจากการทดลองในสัตว์สารชนิดนี้สามารถทำให้ระบบประสาทกลางเป็นอัมพาตได้ อีกทั้งยังเป็นสารก่อมะเร็ง 
action news	(n) ข่าวสังคม, ข่าวกิจกรรม เช่น Now, you can get the latest information from Channel 2 Action News along with weather warnings and forecast delivered directly to your desktop.
activated carbon	(n) ถ่านกัมมันต์
active money	(n) เงินที่ไหลเวียนอยู่ในระบบ
acute stroke	(n phrase) อาการเส้นโลหิตในสมองแตกอย่างเฉียบพลัน
ADB	(abbrev) ADB ย่อมาจาก Asian Development Bank หมายถึง ธนาคารเพื่อการพัฒนาแห่งเอเชีย
adhesive tape	(n) กระดาษกาว, Related: Scotch tape 
administration of justice	(n) การบริหารงานยุติธรรม, กระบวนการยุติธรรม เช่น It aims to render accessible, fair, speedy and cost-effective administration of justice in the interest of a safer and more secure country.
admission	(n) การรับผู้ป่วยไว้ในโรงพยาบาล เช่น I just got back from another admission from the hospital. I had to be transported by ambulance to hospital because I was so sick and weak that I could not walk or even sit. 
advance payment guarantee	(n) หนังสือสัญญาค้ำประกันการรับเงินล่วงหน้า
advent calendar	(n) ปฏิทินชนิดหนึ่งซึ่งเป็นสัญลักษณ์ของเทศกาลศักดิ์สิทธิ์ของการมาจุติของพระเยซู เริ่มเฉลิมกันในเดือนธันวาคม ซึ่งผู้ใหญ่มักให้เป็นของขวัญแก่เด็กๆ ปฏิทินนี้ประกอบด้วยแผ่นกระดาษสองแผ่นซ้อนทับกัน มีช่องที่ถูกประดิษฐ์ขึ้นมาเพื่อให้เป็นประตูเปิดได้จากกระดาษชั้นบน ประตูเหล่านี้มีตั้งแต่วันที่ 1 ถึง 24 ธันวาคม ก่อนถึงวันคริสต์มาส ซึ่งแต่ละช่องจะบอกเล่าถึงเรื่องราวของการประสูติของพระเยซู และอาจมีขนม ของขวัญชิ้นเล็กๆซ่อนอยู่ด้วยก็ได้
adverse	(adj) ตรงกันข้าม, ในทางลบ, เป็นผลร้าย, เสียเปรียบ, ในทิศทางตรงข้าม, Related: S. opposing R.adversely (adv.),adverseness (n.) 
AFAIK	(phrase slang) ย่อมาจาก As Far As I Know หมายถึง เท่าที่ข้าพเจ้าทราบนั้น, เป็นศัพท์แสลงยุคอินเทอร์เน็ต
affront	(n) การดูถูก, การดูหมิ่น, การสบประมาท, การปรามาส เช่น It is an affront to call German women with the title of 'Fräulein'. (Fräulein = Miss) 
aftercare	(n) การติดตามผลการรักษา, การดูแลผู้ป่วยหลังจากได้รับการบำบัดรักษา  , Related: S.after-care 
aggadah	(n) เป็นส่วนหนึ่งของหนังสือ Midrash ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณ(คัมภีร์ห้าเล่มแรกของชาวยิว) ซึ่งประกอบด้วยสองส่วนคือ Halakhah ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณที่เกี่ยวกับธรรมบัญญัติ และ Aggadah ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณในส่วนที่ไม่เกี่ยวกับธรรมบัญญัติ, Related: S. exegesis, R. Midrash, Halakhah 
agrichemical	(n) เคมีเกษตร, สารเคมีที่ใช้ในการเกษตร เช่น ปุ๋ยเคมี เป็นต้น เช่น the health impact of an agrichemical spraydrift incident , Related: S.agrochemical 
agroforestry	(n) ไร่นาสวนผสม
AJAX	(abbrev) ย่อมาจาก Asynchronous JavaScript and XML เป็นชื่อเทคนิคการพัฒนา web application แบบหนึ่ง ซึ่งประกอบด้วยเทคนิคย่อยๆ คือ JavaScript และ DOM ในฝั่ง client browser และใช้การติดต่อกับ server ในแบบ asynchrounous (แทนที่จะเป็น synchronous ในการเปิดเว็บแบบเดิมๆ) และส่งข้อมูลกลับมาในแบบ XML ดูรายละเอียดเพิ่มเติมที่ <a href=http://en.wikipedia.org/wiki/AJAX>Wikipedia</a>
aka	(phrase) also known as, เรียกอีกชื่อหนึ่งว่า
al Qaeda	กลุ่มผู้ก่อการร้ายอัลกออิดะ
al-Qaida	(n) กลุ่มผู้ก่อการร้ายอัลกออิดะ
all-girls school	(n) โรงเรียนสตรีล้วน
also	(adv) ด้วย,เช่นเดียวกัน
alternative energy	(n) พลังงานทดแทน, พลังงานทางเลือก
alto	ชั้นกลาง (เป็น prefix ของเมฆที่มีระดับความสูง 6,000-20,000 ฟุต) 
amnesia	(n) อาการความจําเสื่อม
Amnesty International	(n) องค์การนิรโทษกรรมสากล
amniocentesis	(n) การเจาะนํ้าครํ่าไปตรวจ เช่น Find out about the risks and benefits of amniocentesis during pregnancy.
amputee	(n slang) คนเพี้ยนที่ผิดปกติแขนขาขาด เช่น We provide motorcycle modifications for amputees and modified artificial limbs for amputee motorcyclists.
anaesthetist	(n) วิสัญญีแพทย์, แพทย์ผู้ชำนาญการวางยาชาหรือยาสลบ เช่น The anaesthetist's major role lies in providing anaesthesia during surgery., Related: S.anesthetist, anesthesiologist 
anagram	(n) การเรียงอักษรเพื่อให้เกิดคำใหม่ เช่น A large list of funny and interesting anagrams, which are words or phrases that can be reordered to form new words or phrases.
anchovy	(n) ปลากะตัก เช่น Many people vow that they do not like anchovies as too many bad memories of smelly little fish on pizza have poisoned the experience for some.
anesthesiologist	(n) วิสัญญีแพทย์
annual fee	(n) ค่าธรรมเนียมหรือบริการรายปี
